    x:          approx:          exact:            relative error(log10)
     0.37900000     0.60383971     0.59842160     -2.0431599
     0.38000000     0.60305505     0.59764648     -2.0433622
     0.38100000     0.60226815     0.59686912     -2.0435636
     0.38200000     0.60147903     0.59608954     -2.0437639
     0.38300000     0.60068772     0.59530777     -2.0439632
     0.38400000     0.59989424     0.59452383     -2.0441616
     0.38500000     0.59909862     0.59373774     -2.0443590
     0.38600000     0.59830086     0.59294952     -2.0445555
     0.38700000     0.59750100     0.59215920     -2.0447510
     0.38800000     0.59669905     0.59136679     -2.0449456
     0.38900000     0.59589504     0.59057231     -2.0451394
     0.39000000     0.59508898     0.58977579     -2.0453322
     0.39100000     0.59428090     0.58897725     -2.0455241
     0.39200000     0.59347081     0.58817670     -2.0457151
     0.39300000     0.59265874     0.58737417     -2.0459053
     0.39400000     0.59184470     0.58656967     -2.0460946
     0.39500000     0.59102872     0.58576323     -2.0462831
     0.39600000     0.59021082     0.58495486     -2.0464708
     0.39700000     0.58939101     0.58414459     -2.0466576
     0.39800000     0.58856931     0.58333243     -2.0468437
     0.39900000     0.58774574     0.58251840     -2.0470289
     0.40000000     0.58692032     0.58170252     -2.0472134
     0.40100000     0.58609307     0.58088481     -2.0473970
     0.40200000     0.58526401     0.58006529     -2.0475800
     0.40300000     0.58443315     0.57924397     -2.0477621
     0.40400000     0.58360052     0.57842087     -2.0479436
     0.40500000     0.58276612     0.57759601     -2.0481243
     0.40600000     0.58192999     0.57676941     -2.0483042
     0.40700000     0.58109213     0.57594109     -2.0484835
     0.40800000     0.58025256     0.57511106     -2.0486621
     0.40900000     0.57941129     0.57427934     -2.0488399
     0.41000000     0.57856836     0.57344594     -2.0490171
     0.41100000     0.57772377     0.57261088     -2.0491936
     0.41200000     0.57687754     0.57177419     -2.0493695
     0.41300000     0.57602968     0.57093587     -2.0495447
     0.41400000     0.57518021     0.57009594     -2.0497193
     0.41500000     0.57432916     0.56925442     -2.0498932
     0.41600000     0.57347652     0.56841133     -2.0500666
     0.41700000     0.57262233     0.56756667     -2.0502393
     0.41800000     0.57176659     0.56672047     -2.0504114
     0.41900000     0.57090932     0.56587274     -2.0505829
     0.42000000     0.57005053     0.56502349     -2.0507538
     0.42100000     0.56919025     0.56417275     -2.0509242
     0.42200000     0.56832848     0.56332051     -2.0510940
     0.42300000     0.56746524     0.56246681     -2.0512633
     0.42400000     0.56660055     0.56161166     -2.0514320
     0.42500000     0.56573442     0.56075506     -2.0516001
     0.42600000     0.56486686     0.55989704     -2.0517678
     0.42700000     0.56399788     0.55903760     -2.0519349
     0.42800000     0.56312751     0.55817677     -2.0521015
     0.42900000     0.56225576     0.55731455     -2.0522676
     0.43000000     0.56138263     0.55645096     -2.0524332
     0.43100000     0.56050815     0.55558602     -2.0525983
     0.43200000     0.55963232     0.55471973     -2.0527630
     0.43300000     0.55875516     0.55385211     -2.0529272
     0.43400000     0.55787669     0.55298318     -2.0530909
     0.43500000     0.55699691     0.55211294     -2.0532542
     0.43600000     0.55611585     0.55124141     -2.0534170
     0.43700000     0.55523350     0.55036860     -2.0535794
     0.43800000     0.55434989     0.54949453     -2.0537414
     0.43900000     0.55346503     0.54861920     -2.0539030
     0.44000000     0.55257893     0.54774264     -2.0540642
     0.44100000     0.55169160     0.54686484     -2.0542249
     0.44200000     0.55080305     0.54598583     -2.0543853
     0.44300000     0.54991330     0.54510562     -2.0545453
     0.44400000     0.54902236     0.54422422     -2.0547049
     0.44500000     0.54813024     0.54334164     -2.0548642
     0.44600000     0.54723695     0.54245789     -2.0550231
     0.44700000     0.54634251     0.54157298     -2.0551816
     0.44800000     0.54544692     0.54068693     -2.0553398
     0.44900000     0.54455019     0.53979974     -2.0554976
     0.45000000     0.54365235     0.53891143     -2.0556552
     0.45100000     0.54275339     0.53802202     -2.0558124
     0.45200000     0.54185334     0.53713150     -2.0559693
     0.45300000     0.54095219     0.53623989     -2.0561259
     0.45400000     0.54004997     0.53534721     -2.0562822
     0.45500000     0.53914668     0.53445345     -2.0564382
     0.45600000     0.53824233     0.53355864     -2.0565939
     0.45700000     0.53733694     0.53266279     -2.0567494
     0.45800000     0.53643051     0.53176590     -2.0569046
     0.45900000     0.53552306     0.53086798     -2.0570595
     0.46000000     0.53461459     0.52996905     -2.0572142
     0.46100000     0.53370512     0.52906911     -2.0573686
     0.46200000     0.53279465     0.52816818     -2.0575228
     0.46300000     0.53188319     0.52726626     -2.0576767
     0.46400000     0.53097076     0.52636337     -2.0578305
     0.46500000     0.53005736     0.52545951     -2.0579840
     0.46600000     0.52914301     0.52455469     -2.0581373
     0.46700000     0.52822771     0.52364893     -2.0582904
     0.46800000     0.52731148     0.52274223     -2.0584433
     0.46900000     0.52639431     0.52183461     -2.0585961
     0.47000000     0.52547623     0.52092606     -2.0587486
     0.47100000     0.52455724     0.52001661     -2.0589010
     0.47200000     0.52363734     0.51910625     -2.0590532
     0.47300000     0.52271656     0.51819500     -2.0592053
     0.47400000     0.52179489     0.51728287     -2.0593572
     0.47500000     0.52087235     0.51636987     -2.0595089
     0.47600000     0.51994895     0.51545600     -2.0596605
     0.47700000     0.51902468     0.51454128     -2.0598120
     0.47800000     0.51809957     0.51362570     -2.0599634
     0.47900000     0.51717362     0.51270929     -2.0601146
     0.48000000     0.51624684     0.51179204     -2.0602657
     0.48100000     0.51531924     0.51087398     -2.0604167
     0.48200000     0.51439082     0.50995510     -2.0605677
     0.48300000     0.51346159     0.50903541     -2.0607185
     0.48400000     0.51253157     0.50811492     -2.0608693
     0.48500000     0.51160075     0.50719364     -2.0610199
     0.48600000     0.51066915     0.50627158     -2.0611705
     0.48700000     0.50973678     0.50534874     -2.0613211
     0.48800000     0.50880364     0.50442514     -2.0614715
     0.48900000     0.50786974     0.50350078     -2.0616220
     0.49000000     0.50693509     0.50257566     -2.0617723
     0.49100000     0.50599969     0.50164980     -2.0619227
     0.49200000     0.50506356     0.50072321     -2.0620730
     0.49300000     0.50412669     0.49979588     -2.0622233
     0.49400000     0.50318910     0.49886783     -2.0623735
     0.49500000     0.50225080     0.49793906     -2.0625238
     0.49600000     0.50131179     0.49700959     -2.0626740
     0.49700000     0.50037208     0.49607942     -2.0628243
     0.49800000     0.49943167     0.49514855     -2.0629745
     0.49900000     0.49849058     0.49421699     -2.0631248
     0.50000000     0.49754881     0.49328475     -2.0632751
     0.50100000     0.49660636     0.49235184     -2.0634254
     0.50200000     0.49566324     0.49141826     -2.0635758
     0.50300000     0.49471947     0.49048403     -2.0637262
     0.50400000     0.49377504     0.48954913     -2.0638766
     0.50500000     0.49282996     0.48861359     -2.0640271
     0.50600000     0.49188424     0.48767741     -2.0641776
     0.50700000     0.49093789     0.48674060     -2.0643282
     0.50800000     0.48999091     0.48580315     -2.0644789
     0.50900000     0.48904331     0.48486509     -2.0646297
     0.51000000     0.48809509     0.48392641     -2.0647805
     0.51100000     0.48714626     0.48298712     -2.0649315
     0.51200000     0.48619683     0.48204722     -2.0650825
     0.51300000     0.48524680     0.48110673     -2.0652336
     0.51400000     0.48429618     0.48016565     -2.0653849
     0.51500000     0.48334497     0.47922398     -2.0655362
     0.51600000     0.48239319     0.47828173     -2.0656877
     0.51700000     0.48144083     0.47733890     -2.0658393
     0.51800000     0.48048790     0.47639551     -2.0659910
     0.51900000     0.47953440     0.47545156     -2.0661429
     0.52000000     0.47858036     0.47450704     -2.0662950
     0.52100000     0.47762575     0.47356198     -2.0664471
     0.52200000     0.47667061     0.47261637     -2.0665995
     0.52300000     0.47571492     0.47167022     -2.0667520
     0.52400000     0.47475870     0.47072353     -2.0669047
     0.52500000     0.47380194     0.46977632     -2.0670575
     0.52600000     0.47284467     0.46882858     -2.0672106
     0.52700000     0.47188687     0.46788032     -2.0673638
     0.52800000     0.47092856     0.46693154     -2.0675173
     0.52900000     0.46996974     0.46598226     -2.0676709
     0.53000000     0.46901041     0.46503247     -2.0678248
     0.53100000     0.46805059     0.46408218     -2.0679788
     0.53200000     0.46709027     0.46313140     -2.0681331
     0.53300000     0.46612946     0.46218013     -2.0682876
